Local multimodal eval run: multimodal-b-caption-gemini--multimodal-s2-chart--9d81401e--20260705T195534Z
11 items
collection=multimodal_b_gemini
indexer=B_caption
corpus_dir=evals/artifacts/captions/gemini-2.5-flash
top_k=5

Average Scores:
  • avg_gold_page_recall_at_5: 1.000
  • avg_mrr: 0.927
  • avg_ndcg_at_5: 0.944

Items:
s2-01	1.000	1.000	1.000	nan	nan	[10, 63, 62, 55, 11]	
s2-02	1.000	1.000	1.000	nan	nan	[10, 58, 63, 11, 62]	
s2-03	1.000	1.000	1.000	nan	nan	[10, 11, 58, 9, 18]	
s2-04	1.000	1.000	1.000	nan	nan	[11, 58, 60, 62, 10]	
s2-05	1.000	1.000	1.000	nan	nan	[11, 60, 58, 6, 53]	
s2-06	1.000	1.000	1.000	nan	nan	[11, 62, 52, 10, 9]	
s2-07	1.000	1.000	1.000	nan	nan	[9, 11, 19, 33, 8]	
s2-08	1.000	1.000	1.000	nan	nan	[9, 10, 11, 62, 8]	
s2-09	1.000	1.000	1.000	nan	nan	[49, 11, 10, 33, 60]	
s2-10	1.000	0.387	0.200	nan	nan	[11, 18, 46, 10, 8]	
s2-11	1.000	1.000	1.000	nan	nan	[11, 10, 58, 60, 63]	
